Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
2018,6,25,ปราจีนบุรี,36,23.4
2018,6,27,สระแก้ว,35.7,24.2
2018,6,30,นครราชสีมา,36.1,21.8
2018,6,31,บุรีรัมย์,36.7,23.3
2018,6,32,สุรินทร์,35.7,24
2018,6,33,ศรีสะเกษ,35.5,22.6
2018,6,34,อุบลราชธานี,35.4,22.4
2018,6,36,ชัยภูมิ,35.5,23.3
2018,6,40,ขอนแก่น,35.5,21.9
2018,6,41,อุดรธานี,35.6,22.9
2018,6,42,เลย,35.3,22.6
2018,6,43,หนองคาย,36.5,22.8
2018,6,44,มหาสารคาม,37.2,22.7
2018,6,45,ร้อยเอ็ด,35.7,23
2018,6,46,กาฬสินธุ์,35.5,22.6
2018,6,47,สกลนคร,34.9,22.6
2018,6,48,นครพนม,35.4,22.5
2018,6,49,มุกดาหาร,35.3,22.6
2018,6,50,เชียงใหม่,36,16.5
2018,6,51,ลำพูน,36,23.4
2018,6,52,ลำปาง,36.9,22.5
2018,6,53,อุตรดิตถ์,38.5,23.8
2018,6,54,แพร่,37,23.1
2018,6,55,น่าน,37.2,21.4
2018,6,56,พะเยา,35.5,22.5
2018,6,57,เชียงราย,35.6,22.4
2018,6,58,แม่ฮ่องสอน,38.7,21.3
2018,6,60,นครสวรรค์,36.6,22.9
2018,6,62,กำแพงเพชร,36.2,23.8
2018,6,63,ตาก,36.9,19.2
2018,6,64,สุโขทัย,37,24.2
2018,6,65,พิษณุโลก,36,23.8
2018,6,66,พิจิตร,35.5,23.3
2018,6,67,เพชรบูรณ์,36.6,22.3
2018,6,70,ราชบุรี,35.1,23.8
2018,6,71,กาญจนบุรี,36.9,23.2
2018,6,72,สุพรรณบุรี,37.2,24
2018,6,73,นครปฐม,35.8,24.2
2018,6,76,เพชรบุรี,36.6,24.8
2018,6,77,ประจวบคีรีขันธ์,37,22.4
2018,6,80,นครศรีธรรมราช,36.5,23
2018,6,81,กระบี่,34.5,22.1
2018,6,82,พังงา,33.6,23.3
2018,6,83,ภูเก็ต,35.4,20.7
2018,6,84,สุราษฎร์ธานี,36,22.6
2018,6,85,ระนอง,34,23.4
2018,6,86,ชุมพร,35.5,23
2018,6,90,สงขลา,35.6,22.1
2018,6,91,สตูล,34.5,22.7
2018,6,92,ตรัง,35.4,22.8
2018,6,93,พัทลุง,35.3,23.6
2018,6,94,ปัตตานี,35.9,22.9
2018,6,95,ยะลา,36.9,22.8
2018,6,96,นราธิวาส,35.4,20
2018,7,10,กรุงเทพมหานคร,35.5,24.4
2018,7,11,สมุทรปราการ,32,26
2018,7,13,ปทุมธานี,36.3,24.5
2018,7,14,พระนครศรีอยุธยา,35,22.5
2018,7,16,ลพบุรี,36,22.8
2018,7,18,ชัยนาท,36,23.8
2018,7,20,ชลบุรี,37.7,23
2018,7,21,ระยอง,33.7,23.3
2018,7,22,จันทบุรี,33.1,21.5
2018,7,23,ตราด,32.8,22.5
2018,7,24,ฉะเชิงเทรา,34.7,23
2018,7,25,ปราจีนบุรี,35,23.3
2018,7,27,สระแก้ว,35.6,23.6
2018,7,30,นครราชสีมา,35.9,22.6
2018,7,31,บุรีรัมย์,36.2,23.3
2018,7,32,สุรินทร์,35.1,23.6
2018,7,33,ศรีสะเกษ,34.8,23.4
2018,7,34,อุบลราชธานี,35.7,23.4
2018,7,36,ชัยภูมิ,35.3,22.9
2018,7,40,ขอนแก่น,35.4,23.4
2018,7,41,อุดรธานี,35.3,24
2018,7,42,เลย,35.3,23.1
2018,7,43,หนองคาย,35.6,23.7
2018,7,44,มหาสารคาม,35.5,23.6
2018,7,45,ร้อยเอ็ด,35.5,23.4
2018,7,46,กาฬสินธุ์,35,23.3
2018,7,47,สกลนคร,34.9,22.7
2018,7,48,นครพนม,34.7,23
2018,7,49,มุกดาหาร,35.4,23
2018,7,50,เชียงใหม่,35.3,17
2018,7,51,ลำพูน,35.6,23.4
2018,7,52,ลำปาง,35.8,22.5
2018,7,53,อุตรดิตถ์,36.5,24.5
2018,7,54,แพร่,35.1,23.5
2018,7,55,น่าน,37.5,22.7
2018,7,56,พะเยา,34.5,20.8
2018,7,57,เชียงราย,35.1,23.3
2018,7,58,แม่ฮ่องสอน,34.5,21.5
2018,7,60,นครสวรรค์,35,23.4
2018,7,62,กำแพงเพชร,34.5,24.4
2018,7,63,ตาก,35,18.8
2018,7,64,สุโขทัย,35.8,24
2018,7,65,พิษณุโลก,35,23.6
2018,7,66,พิจิตร,35,23.5
2018,7,67,เพชรบูรณ์,35.7,21.8
2018,7,70,ราชบุรี,35.4,24
2018,7,71,กาญจนบุรี,35.5,23.1
2018,7,72,สุพรรณบุรี,35.7,24
2018,7,73,นครปฐม,36.6,24
2018,7,76,เพชรบุรี,36.9,24.5
2018,7,77,ประจวบคีรีขันธ์,36.9,22.7
2018,7,80,นครศรีธรรมราช,36,22.5
2018,7,81,กระบี่,34.5,22.2
2018,7,82,พังงา,32,23.2
2018,7,83,ภูเก็ต,34.8,20.4
2018,7,84,สุราษฎร์ธานี,35.5,22.3
2018,7,85,ระนอง,32,23
2018,7,86,ชุมพร,33.8,23.2
2018,7,90,สงขลา,35.8,22.1
2018,7,91,สตูล,34.3,22.7
2018,7,92,ตรัง,34.6,22.9
2018,7,93,พัทลุง,35.2,23.6
2018,7,94,ปัตตานี,35.5,23.5
2018,7,95,ยะลา,36.6,22.8
2018,7,96,นราธิวาส,36.7,19.5
2018,8,10,กรุงเทพมหานคร,34.1,23.9
2018,8,11,สมุทรปราการ,31,26.3
2018,8,13,ปทุมธานี,36.8,24
2018,8,14,พระนครศรีอยุธยา,34.7,22
2018,8,16,ลพบุรี,35.1,23.2
2018,8,18,ชัยนาท,36,24
2018,8,20,ชลบุรี,34.5,23.9
2018,8,21,ระยอง,32.9,24.2
2018,8,22,จันทบุรี,32.4,21.8
2018,8,23,ตราด,32,23
2018,8,24,ฉะเชิงเทรา,33.6,23.2
2018,8,25,ปราจีนบุรี,34.7,23.5
2018,8,27,สระแก้ว,34.5,23.2
2018,8,30,นครราชสีมา,35.2,21.8
2018,8,31,บุรีรัมย์,35.5,23
2018,8,32,สุรินทร์,34.3,23
2018,8,33,ศรีสะเกษ,33.1,22.9
2018,8,34,อุบลราชธานี,34.1,23.2
2018,8,36,ชัยภูมิ,33.9,22.2
2018,8,40,ขอนแก่น,34.7,23.3
2018,8,41,อุดรธานี,34.4,23.8
2018,8,42,เลย,34,23.3
2018,8,43,หนองคาย,34.7,23.3
2018,8,44,มหาสารคาม,35.3,23.6
2018,8,45,ร้อยเอ็ด,34.3,23.3
2018,8,46,กาฬสินธุ์,33.4,22.8
2018,8,47,สกลนคร,34,23
2018,8,48,นครพนม,34,22.9
2018,8,49,มุกดาหาร,34,23.3
2018,8,50,เชียงใหม่,34.1,17.2
2018,8,51,ลำพูน,34.5,23
2018,8,52,ลำปาง,35.5,22.5
2018,8,53,อุตรดิตถ์,37,24.2
2018,8,54,แพร่,34.9,23.5
2018,8,55,น่าน,35,22.7
2018,8,56,พะเยา,34,22.5
2018,8,57,เชียงราย,33.3,23.3
2018,8,58,แม่ฮ่องสอน,33.5,22.5
2018,8,60,นครสวรรค์,35.1,22.8
2018,8,62,กำแพงเพชร,34.3,23.1
2018,8,63,ตาก,34,18.3
2018,8,64,สุโขทัย,35.5,23.6
2018,8,65,พิษณุโลก,35,23.5
2018,8,66,พิจิตร,33.8,23.5
2018,8,67,เพชรบูรณ์,34.5,22.4
2018,8,70,ราชบุรี,35.2,23.9
2018,8,71,กาญจนบุรี,36.8,21.6
2018,8,72,สุพรรณบุรี,36.5,23.8
2018,8,73,นครปฐม,35.8,23.5
2018,8,76,เพชรบุรี,35.8,24.5
2018,8,77,ประจวบคีรีขันธ์,36.1,22.2
2018,8,80,นครศรีธรรมราช,36,22.5
2018,8,81,กระบี่,33.1,22.3
2018,8,82,พังงา,32.8,23.5
2018,8,83,ภูเก็ต,35.6,22.1
2018,8,84,สุราษฎร์ธานี,36,22.3
2018,8,85,ระนอง,32.3,23.5
2018,8,86,ชุมพร,33.6,23
2018,8,90,สงขลา,36.3,22.1
2018,8,91,สตูล,34,22
2018,8,92,ตรัง,35,23.7
2018,8,93,พัทลุง,36.5,23.5
2018,8,94,ปัตตานี,36.2,23.3
2018,8,95,ยะลา,37.5,22.4
2018,8,96,นราธิวาส,36.8,20.3
2018,9,10,กรุงเทพมหานคร,36,23
2018,9,11,สมุทรปราการ,32.7,23.1
2018,9,13,ปทุมธานี,38,23.6
2018,9,14,พระนครศรีอยุธยา,36.1,22.5
2018,9,16,ลพบุรี,36,23.2
2018,9,18,ชัยนาท,36.3,23.8
2018,9,20,ชลบุรี,38.1,21.1
2018,9,21,ระยอง,34.1,22.6
2018,9,22,จันทบุรี,34.3,22
2018,9,23,ตราด,33.7,22.3
2018,9,24,ฉะเชิงเทรา,35,22.3
2018,9,25,ปราจีนบุรี,36.4,23.7
2018,9,27,สระแก้ว,35.8,23.3
2018,9,30,นครราชสีมา,36.2,20.7
2018,9,31,บุรีรัมย์,36.1,21.7
2018,9,32,สุรินทร์,35.9,22.9
2018,9,33,ศรีสะเกษ,35.4,22.5
2018,9,34,อุบลราชธานี,35.5,22
2018,9,36,ชัยภูมิ,35.5,22.2
2018,9,40,ขอนแก่น,36.5,21.9
2018,9,41,อุดรธานี,35.8,23.2
2018,9,42,เลย,34.9,22
2018,9,43,หนองคาย,36.7,22.6
2018,9,44,มหาสารคาม,36.2,22.5
2018,9,45,ร้อยเอ็ด,35.6,22.7
2018,9,46,กาฬสินธุ์,34.9,23.3
2018,9,47,สกลนคร,35,23.4
2018,9,48,นครพนม,34.8,22.7
2018,9,49,มุกดาหาร,36.1,21.6
2018,9,50,เชียงใหม่,36.5,16.8
2018,9,51,ลำพูน,36.7,23
2018,9,52,ลำปาง,37,21.5
2018,9,53,อุตรดิตถ์,37.1,23.7
2018,9,54,แพร่,36.6,23
2018,9,55,น่าน,36.9,21.5
2018,9,56,พะเยา,34.4,21
2018,9,57,เชียงราย,35.9,22.2
2018,9,58,แม่ฮ่องสอน,36,22.2
2018,9,60,นครสวรรค์,36.2,23.5
2018,9,62,กำแพงเพชร,37.2,23.2
2018,9,63,ตาก,37.8,17.5
2018,9,64,สุโขทัย,37.7,23.3
2018,9,65,พิษณุโลก,36.5,23.5
2018,9,66,พิจิตร,36,23.2
2018,9,67,เพชรบูรณ์,36,22
2018,9,70,ราชบุรี,36.6,23.4
2018,9,71,กาญจนบุรี,36.5,21.5
2018,9,72,สุพรรณบุรี,37.3,23.5
2018,9,73,นครปฐม,36,23
2018,9,76,เพชรบุรี,37.4,24.3
2018,9,77,ประจวบคีรีขันธ์,35.7,21.7
2018,9,80,นครศรีธรรมราช,37,22.8
2018,9,81,กระบี่,34.3,21.8
2018,9,82,พังงา,33.3,22.4
2018,9,83,ภูเก็ต,35.4,20.5
2018,9,84,สุราษฎร์ธานี,36.1,22.2
2018,9,85,ระนอง,33.5,22.4
2018,9,86,ชุมพร,34.8,22.5
2018,9,90,สงขลา,35.2,21.5
2018,9,91,สตูล,34.1,22
2018,9,92,ตรัง,35.3,22.8
2018,9,93,พัทลุง,35.8,22.9
2018,9,94,ปัตตานี,35,22.5
2018,9,95,ยะลา,35.1,22
2018,9,96,นราธิวาส,35,22
2018,10,10,กรุงเทพมหานคร,35.7,21.5
2018,10,11,สมุทรปราการ,33.5,21.9
2018,10,13,ปทุมธานี,37.7,22.5
2018,10,14,พระนครศรีอยุธยา,36,20.7
2018,10,16,ลพบุรี,36.2,20.5
2018,10,18,ชัยนาท,36.2,21
